id,state_ind_pred
311581827,0
242834615,0
429226406,1
736237802,0
2104461556,0
1814043302,0
1504275125,0
1067086673,0
660571995,0
861344700,0
933082004,0
822497948,0
1661507283,0
1761289973,0
1259132931,0
119232844,0
1751129219,0
471421639,0
80267071,0
224347690,0
1936317863,0
7760006,0
441443763,0
356617830,0
721638869,1
1821248805,1
273575187,0
1880421082,1
339428407,1
2124254859,1
1850681968,1
293385939,1
1092509309,1
258895327,1
328068402,0
366934584,1
780854440,1
477171556,0
2143543297,1
1104486396,1
1341045295,1
1867183224,1
301157338,1
1823394364,1
1190376005,1
162758986,0
1425142887,1
591064807,1
229333637,0
1418987567,0
1038639896,1
1239201053,0
1844524928,1
257043222,1
1163843761,0
1974822012,0
395293858,1
1777168138,1
1753063015,0
1147803478,1
673135809,0
1247928050,0
2131966618,1
1947532482,0
1195810778,0
1650571308,1
542210804,1
1843714703,0
2061825482,0
1590617673,1
1491075039,0
2124204916,0
1953043243,0
935750821,0
294211306,0
1761679524,1
1868294002,1
114885830,0
1002484986,0
762442189,0
842416913,0
1361727453,0
524238700,0
1040791125,0
1247729376,0
1377159508,0
602820295,0
1197284280,0
1071009264,0
1355224633,0
535902972,1
296854613,1
1557977340,1
612699653,1
431599060,1
1071064655,0
301943508,0
2011288695,0
1186367683,0
283516801,0
502204024,1
1610309763,1
1097719028,0
128563235,0
732829580,0
895522609,0
1911622225,1
994463544,1
504552775,1
1707310832,1
30730475,1
1988129805,1
1655700101,1
1997793239,1
989520928,1
1880706775,0
2090172957,1
1082347565,0
840115188,0
1290886509,0
523580206,0
1597408943,0
9945478,0
281659031,0
811595825,0
453359131,0
751211779,0
1987200776,1
506972141,1
214738288,1
1861370781,1
1513511522,1
2141184677,1
613600913,1
280282471,1
1463299604,1
1705547277,1
1566825039,1
72916421,1
1831409660,1
925570748,1
1118328142,1
1038884769,1
44205113,0
1154704136,1
918867102,1
2057660439,1
1791733135,1
879366320,1
457165525,1
1233277497,1
634567488,1
2115673618,1
1551778933,1
600414687,1
1900739499,1
1921776307,1
1938110700,1
753651926,1
124803526,1
1741550692,1
1522833705,1
1519498828,1
2075066284,1
610106635,1
1347458488,1
771149722,1
1112228945,1
479845236,1
1852098923,1
1846490265,1
1868403981,1
1014894092,1
998973684,1
2073722586,1
942706707,1
1257285669,1
1434657181,1
1078472113,0
1920429542,1
210209961,1
740417261,1
698303421,1
468890621,1
1674809220,1
1607000735,1
653348204,1
1254163533,1
299983556,1
1715555380,0
575214744,1
1293325820,1
792711149,1
1706360386,1
164245515,1
556194688,1
1037068258,0
960600316,1
253000861,1
1320279085,1
993183900,1
1620796592,1
1751728848,0
1884101448,1
1644645406,0
2111511552,1
393128129,0
337875406,1
670576336,1
714475823,1
8259384,1
903891293,1
922345146,1
489010822,0
715747133,0
856506951,1
628688788,0
811453464,1
673204179,0
925302082,1
1803538433,0
45158762,1
2055851447,1
427788313,0
492062225,1
497921779,1
1049023038,1
1519619799,1
534588812,0
1296355749,0
724265434,0
510796504,0
1902800387,1
629747233,1
1721838399,1
662496926,1
2005355887,1
937842889,1
944663508,1
1549148001,1
973258116,1
1940431686,0
1445153376,0
71486722,0
299420952,1
895370271,1
1085493447,1
713899801,1
2028157903,1
292806649,1
1030615968,1
603857467,1
1453083076,1
364055991,1
84634138,0
1215903823,1
823060285,1
301852363,1
967207980,0
100551656,1
1166288755,1
697246234,0
735377166,1
2112944759,0
1199279020,1
1721238246,1
1363823965,1
509288603,1
428092973,1
1080024296,0
109178441,0
461216448,0
2105844945,1
565628226,0
254236948,1
13816941,1
1471206185,1
140787515,1
245045779,0
86298848,1
1578826342,1
1536238038,1
2081692991,0
232300928,1
1853957422,1
1351413171,0
1826345015,1
588052515,1
1786107001,0
1529115421,1
904280081,0
2101367025,0
2124874736,0
337247174,1
1641093846,1
1016210580,0
2108269247,1
1132444674,1
2129063953,0
2065444148,0
972320575,0
491662732,0
1295473973,0
1414725637,0
69559766,1
196502168,1
864371377,1
1789993785,1
646294281,1
926516263,1
512427032,1
335880249,1
116976972,1
422193538,1
339405383,1
2124751704,0
2083558126,1
2008665540,1
826016533,0
1171647301,0
1204739665,0
1633457387,0
1095080964,0
362731639,1
1467246750,1
341478578,1
1194275684,1
167587036,0
1491852635,1
901933624,1
685500006,1
1548894392,1
900945347,1
2036045759,1
431052359,1
77242945,1
534022196,1
684946460,1
1459989423,1
1052885321,1
540846385,1
1145594770,1
648316153,1
861118874,1
1231919681,1
489369905,0
983528903,1
682095600,0
1535825180,1
1062641038,1
437271041,0
901493149,0
1738713419,1
1759224961,1
554919309,0
454289332,0
45894350,0
1572478063,0
248522281,0
468000169,0
1522762975,1
912821614,1
1344499519,1
2054238960,1
66932445,1
609052019,1
1419943787,1
1042213331,1
1565990801,1
77606079,0
733557360,1
1119432859,1
372468111,1
231531702,1
1899150130,1
116588230,1
805221774,1
2014351865,1
1550905943,1
323084314,0
1725195642,1
1390719965,1
831677666,1
1346050884,0
56076708,1
1641914963,0
188566286,1
1731294643,0
1744799167,0
157397937,0
605215249,0
2040026483,1
820316408,0
557230947,1
1112911284,1
1252566488,1
1494534084,0
769500924,0
2094531593,0
759761309,0
1328796035,0
218905928,0
626836041,0
632442954,0
256728025,0
176023433,0
1095739528,0
2073981742,0
1062056057,0
866581613,0
225368002,0
635470758,0
1261993636,0
1074405592,0
359958741,0
1047089333,0
173362741,0
1090059426,0
567643381,0
1899835968,1
1191261070,0
300199025,0
1600486710,0
1720897486,0
884696456,0
2103588216,0
188212880,0
2068506214,0
1371784526,0
1412461741,0
957323139,0
1684266523,0
294649282,0
2054124914,0
2000514462,0
1574479268,0
1832918129,0
491976855,0
1555913219,0
637348937,0
1441736713,0
2142948551,0
1621678529,0
1555679678,0
678161852,0
1484561446,0
440735366,0
1912783204,0
2126398374,0
1850689265,0
575077550,0
804915409,0
1069641050,0
569381874,0
1482572160,0
369094761,0
613042513,0
2115937316,0
884538268,0
2094397858,0
1952617952,0
1843528320,0
2092110947,0
1667549380,0
1524777681,0
1957782842,0
1338455052,0
1050135418,0
811614563,0
1851593790,0
1818090238,0
511686766,0
1840578411,1
1567381435,0
146835501,0
1764228919,0
652740377,0
699637533,0
1702859051,0
1086023511,0
1192405496,0
1954410611,0
1713088920,0
1607478408,0
1313941174,0
2137305026,0
2005399202,0
1223512008,1
145968602,0
924270511,0
1321055096,0
1556004369,0
723623119,0
2082121604,0
1502297285,0
263847417,0
1869347475,0
1192979081,0
1640613752,0
38741312,0
703658451,0
862279235,0
2102435100,0
617665042,0
666242672,0
1257835479,0
622655588,0
1315608319,0
886408598,0
733508023,0
1778981530,0
1381906667,0
1893227791,0
879833888,0
679196675,0
1701249995,0
1195780671,0
1328575026,0
2124151056,0
1378933706,0
1324990564,0
2115301177,0
885363680,0
1757550755,0
447551205,0
2142755977,0
846484758,0
652364420,0
1604784448,0
737380551,0
1016645962,0
1701454856,0
1146964111,0
1774930893,0
1899216286,0
1080910319,0
1620941307,0
72297499,0
1850525860,0
1599069776,0
833416482,0
254974975,0
1455518845,0
462907412,0
1961071593,0
32553887,0
1659966807,0
857781175,0
1526483054,0
1548256578,0
678493514,0
1517877697,0
285499421,0
988364397,0
1056599532,0
2035692659,0
486557072,0
749049401,0
663430981,0
2135260467,0
1674066918,0
2082044583,0
1898516065,0
901991720,0
1995597757,0
1352245741,0
1925320015,0
945237228,0
490516805,0
2037227222,0
771171235,0
1642232564,1
984784835,0
520156024,0
1261150604,0
1004131124,0
881978749,0
263003932,0
810980597,0
1489465460,0
2026388004,0
745938589,0
52373301,0
274852444,0
2139728132,0
612632923,0
1183446991,0
1609525275,0
556065932,0
697827654,0
1897620033,0
1332791663,0
1192525663,0
715905490,0
1139264416,0
993657254,0
400246478,0
2079974881,0
801319461,0
104087453,0
991078791,0
1770997012,0
1853136422,0
1307347299,0
981830812,1
2008695438,0
1687010929,0
1167688946,0
36212773,0
1016855867,0
1114432303,0
48746369,0
1650851056,0
986064646,0
744762326,0
865364113,0
1904912318,0
115084198,0
2090440214,0
1528479018,0
1778438910,0
1707789341,0
1617190011,0
1272734348,0
1360042897,0
1304910512,0
